车辆,车型,第几趟,出发时刻,返回时刻,客户序列(原始ID),载重(kg),体积(m3),行驶能耗(元),时间窗惩罚(元),CO2(kg)
1,新能源3000,1,8:00,15:09,"[16, 70, 87, 94]",2949.33,8.389,155.17,13.6,39.55
2,燃油3000,1,8:00,11:16,[66],2791.01,8.68,292.16,0.0,80.31
2,燃油3000,2,11:19,14:26,[9],2506.71,6.651,223.83,92.55,61.53
2,燃油3000,3,14:29,16:22,"[83, 92]",2451.35,6.614,124.73,0.0,34.29
2,燃油3000,4,16:25,18:46,[48],3000.0,6.82,205.6,0.0,56.52
2,燃油3000,5,18:49,20:19,[53],3000.0,8.081,119.03,27.24,32.72
3,新能源3000,1,8:00,15:00,[70],3000.0,8.652,195.22,0.0,49.76
3,新能源3000,2,16:03,20:06,[55],3000.0,7.575,102.8,0.0,26.2
3,新能源3000,3,20:09,24:35,"[5, 78]",2613.99,7.036,99.46,112.14,25.35
4,燃油3000,1,8:00,13:54,"[76, 82]",2749.38,8.614,332.52,32.88,91.41
4,燃油3000,2,13:57,16:31,[64],3000.0,7.25,274.97,0.0,75.59
4,燃油3000,3,16:34,18:49,[25],2528.14,5.338,188.81,2.59,51.9
4,燃油3000,4,18:52,20:22,[53],3000.0,8.081,119.03,29.5,32.72
5,新能源3000,1,8:57,13:16,[42],3000.0,7.109,99.8,0.0,25.44
5,新能源3000,2,13:19,14:15,[49],3000.0,9.052,26.14,0.0,6.66
5,新能源3000,3,14:18,19:16,[52],3000.0,7.634,139.0,0.0,35.43
5,新能源3000,4,19:19,22:24,[62],3000.0,8.562,76.08,34.2,19.39
6,新能源3000,1,8:57,13:16,[42],3000.0,7.109,99.8,0.0,25.44
6,新能源3000,2,13:19,16:48,[75],3000.0,7.812,107.02,0.0,27.28
6,新能源3000,3,16:51,21:37,[27],3000.0,7.088,122.04,0.0,31.1
7,新能源3000,1,9:01,22:06,"[38, 93, 75, 52, 71, 10]",2919.31,9.429,247.38,45.96,63.05
8,燃油3000,1,9:13,13:38,"[85, 79]",2908.96,8.787,315.32,0.0,86.68
8,燃油3000,2,13:41,16:12,[64],3000.0,7.25,272.41,0.0,74.88
8,燃油3000,3,16:15,18:36,[48],3000.0,6.82,205.6,0.0,56.52
8,燃油3000,4,18:39,21:52,[68],3000.0,7.053,292.43,14.9,80.39
9,燃油3000,1,10:07,14:08,[7],3000.0,7.33,354.16,14.2,97.36
9,燃油3000,2,15:43,18:43,[63],3000.0,8.206,271.12,0.0,74.53
9,燃油3000,3,18:46,23:19,[71],3000.0,9.824,429.27,6.98,118.0
10,新能源3000,1,10:07,14:08,[7],3000.0,7.33,96.99,14.2,24.72
10,新能源3000,2,14:16,19:14,[52],3000.0,7.634,139.0,0.0,35.43
10,新能源3000,3,19:17,23:05,[28],3000.0,7.331,95.42,22.25,24.32
11,燃油3000,1,9:19,14:13,[59],3000.0,7.918,493.31,0.0,135.61
11,燃油3000,2,14:16,17:17,[36],3000.0,9.344,314.14,0.0,86.35
11,燃油3000,3,17:20,21:24,[55],3000.0,7.575,379.52,0.21,104.33
12,燃油3000,1,9:19,15:40,"[59, 90]",2908.0,7.636,449.68,31.24,123.61
12,燃油3000,2,18:06,21:30,[40],2691.14,7.951,307.5,28.86,84.53
13,燃油3000,1,9:35,16:00,"[86, 37, 56, 57]",2772.66,8.901,371.65,31.97,102.16
13,燃油3000,2,16:03,18:50,[65],3000.0,6.76,249.61,0.0,68.62
13,燃油3000,3,18:53,22:06,[67],2860.44,8.925,290.54,3.31,79.87
14,燃油3000,1,9:37,15:06,"[46, 35, 32, 61]",2468.82,6.101,416.59,76.0,114.52
14,燃油3000,2,15:09,18:09,[63],2692.99,7.366,266.5,0.0,73.26
14,燃油3000,3,18:12,20:47,[51],3000.0,8.59,229.11,33.98,62.98
15,燃油3000,1,9:37,13:55,[46],3000.0,9.838,391.86,0.29,107.72
15,燃油3000,2,13:58,16:32,[64],2849.77,6.887,272.7,0.0,74.96
