车辆ID,车型,第几趟,停靠序号,类型,客户原始ID,是否绿色区客户,到达时刻,离开时刻,该点重量kg,该点体积m3,该点订单编号,累计载重kg,累计体积m3,路线总距离km,行驶能耗元,惩罚元,CO2kg,限行违规
1,燃油3000,1,0,配送中心(出发),,,,8:00,,,,2851.34,8.262,153.23,440.7,11.18,121.14,否
1,燃油3000,1,1,客户76,76,否,9:30,9:50,1256.3,3.941,"[302, 655, 668, 737, 739, 834, 1012, 1065, 1105, 1212, 1228, 1270, 1393, 1498, 1564, 1889, 2148]",,,,,,,
1,燃油3000,1,2,客户33,33,否,10:12,11:06,527.27,1.38,"[930, 1311, 1365, 1669, 1717, 1774, 1823, 2055, 2127]",,,,,,,
1,燃油3000,1,3,客户42,42,否,11:18,11:38,341.8,0.81,"[312, 337, 351, 380, 399, 477, 742, 746, 804, 883, 1020, 1045, 1304, 1539, 1583, 1667, 1690, 1711, 1814, 1841, 1971, 1988, 2070, 2078, 2084]",,,,,,,
1,燃油3000,1,4,客户74,74,否,13:14,13:34,725.97,2.131,"[408, 438, 561, 615, 670, 926, 1003, 1060, 1128, 1148, 1226, 1340, 1371, 1383, 1386, 1476, 1842, 1881, 1982, 1989, 1997, 2036, 2053, 2058]",,,,,,,
1,燃油3000,1,5,配送中心(返回),,,14:45,,,,,,,,,,,
1,燃油3000,2,0,配送中心(出发),,,,14:48,,,,3000.0,7.677,60.31,171.07,0.0,47.02,否
1,燃油3000,2,1,客户57,57,否,15:31,15:51,3000.0,7.677,"[313, 369, 456, 479, 512, 527, 543, 550, 551, 675, 688, 721, 776, 811, 813, 864, 878, 913, 940, 948, 959, 962, 1073, 1095, 1141, 1178, 1236, 1246, 1310, 1312, 1417, 1471, 1491, 1582, 1659, 1674, 1680, 1741, 1747, 1767, 1772, 1840, 1922, 1967, 2008, 2020, 2030, 2049, 2161]",,,,,,,
1,燃油3000,2,2,配送中心(返回),,,16:42,,,,,,,,,,,
1,燃油3000,3,0,配送中心(出发),,,,16:45,,,,3000.0,6.843,105.22,302.32,23.56,83.1,否
1,燃油3000,3,1,客户31,31,否,18:14,18:34,3000.0,6.843,"[516, 578, 783, 1185, 1415, 1686, 1688, 1832]",,,,,,,
1,燃油3000,3,2,配送中心(返回),,,20:03,,,,,,,,,,,
2,新能源3000,1,0,配送中心(出发),,,,8:57,,,,3000.0,7.109,125.14,99.8,0.0,25.44,否
2,新能源3000,1,1,客户42,42,否,10:14,10:34,3000.0,7.109,"[312, 337, 351, 380, 399, 477, 742, 746, 804, 883, 1020, 1045, 1304, 1539, 1583, 1667, 1690, 1711, 1814, 1841, 1971, 1988, 2070, 2078, 2084]",,,,,,,
2,新能源3000,1,2,配送中心(返回),,,13:16,,,,,,,,,,,
2,新能源3000,2,0,配送中心(出发),,,,14:16,,,,3000.0,7.634,178.18,139.0,0.0,35.43,否
2,新能源3000,2,1,客户52,52,否,16:23,16:43,3000.0,7.634,"[331, 340, 350, 426, 428, 451, 459, 494, 565, 588, 619, 621, 626, 627, 662, 671, 700, 709, 735, 762, 909, 928, 938, 970, 982, 1001, 1024, 1079, 1126, 1221, 1222, 1252, 1262, 1445, 1571, 1610, 1650, 1677, 1722, 1723, 1740, 1748, 1776, 1788, 1808, 1844, 1900, 1957, 1996, 2021, 2031, 2125, 2131, 2154]",,,,,,,
2,新能源3000,2,2,配送中心(返回),,,19:14,,,,,,,,,,,
2,新能源3000,3,0,配送中心(出发),,,,19:17,,,,2725.32,7.501,83.07,63.77,0.0,16.25,否
2,新能源3000,3,1,客户72,72,否,20:27,20:47,2725.32,7.501,"[317, 368, 395, 466, 491, 548, 580, 611, 632, 848, 973, 1040, 1070, 1077, 1165, 1208, 1273, 1274, 1320, 1330, 1348, 1397, 1406, 1463, 1472, 1573, 1658, 1662, 1708, 1710, 1745, 1800, 1904, 1923, 1991, 2027]",,,,,,,
2,新能源3000,3,2,配送中心(返回),,,21:57,,,,,,,,,,,
2,新能源3000,4,0,配送中心(出发),,,,22:33,,,,3000.0,8.081,41.43,32.24,213.43,8.22,否
2,新能源3000,4,1,客户53,53,否,23:08,23:28,3000.0,8.081,"[378, 389, 403, 420, 463, 538, 571, 595, 664, 677, 713, 724, 726, 842, 937, 951, 988, 1051, 1059, 1075, 1084, 1091, 1112, 1115, 1116, 1123, 1152, 1166, 1170, 1200, 1213, 1280, 1295, 1299, 1321, 1451, 1456, 1489, 1505, 1601, 1627, 1641, 1643, 1702, 1766, 1787, 1791, 1799, 1854, 1861, 1892, 1905, 2128, 2134, 2153]",,,,,,,
2,新能源3000,4,2,配送中心(返回),,,24:03,,,,,,,,,,,
3,燃油3000,1,0,配送中心(出发),,,,8:00,,,,2791.01,8.68,95.94,292.16,0.0,80.31,否
3,燃油3000,1,1,客户66,66,否,9:37,9:57,2791.01,8.68,"[324, 370, 507, 529, 618, 732, 765, 808, 854, 862, 875, 1023, 1056, 1088, 1133, 1249, 1275, 1388, 1441, 1455, 1490, 1512, 1523, 1574, 1663, 1683, 1696, 1758, 1769, 1798, 1803, 1846, 2068, 2069, 2073, 2140, 2149, 2158]",,,,,,,
3,燃油3000,1,2,配送中心(返回),,,11:16,,,,,,,,,,,
3,燃油3000,2,0,配送中心(出发),,,,11:19,,,,2584.68,9.154,90.16,260.04,260.1,71.48,否
3,燃油3000,2,1,客户86,86,否,13:07,13:27,532.89,2.849,"[360, 361, 409, 1058, 1225, 1891, 1912]",,,,,,,
3,燃油3000,2,2,客户37,37,否,13:48,14:08,564.95,1.819,"[443, 582, 923, 1063, 1254, 1260, 1292, 1307, 1357, 1496, 1531, 1657, 1871]",,,,,,,
3,燃油3000,2,3,客户49,49,否,14:37,14:57,1486.84,4.487,"[375, 392, 415, 448, 454, 552, 576, 579, 585, 606, 609, 648, 785, 828, 866, 895, 941, 954, 1037, 1062, 1169, 1196, 1216, 1272, 1339, 1343, 1351, 1446, 1460, 1526, 1558, 1579, 1597, 1619, 1631, 1727, 1777, 1802, 1822, 1864, 1902, 1960, 2039, 2106, 2146, 2147]",,,,,,,
3,燃油3000,2,4,配送中心(返回),,,15:24,,,,,,,,,,,
3,燃油3000,3,0,配送中心(出发),,,,15:27,,,,2799.93,8.889,84.71,240.69,2.74,66.16,否
3,燃油3000,3,1,客户45,45,否,16:39,16:59,2799.93,8.889,"[318, 343, 447, 467, 474, 485, 521, 603, 856, 867, 886, 921, 931, 1032, 1046, 1072, 1074, 1106, 1172, 1197, 1210, 1298, 1316, 1374, 1444, 1461, 1467, 1481, 1495, 1515, 1543, 1726, 1863, 1888, 1895, 1928, 1933, 1968, 2010, 2044, 2098, 2112, 2160]",,,,,,,
3,燃油3000,3,2,配送中心(返回),,,18:11,,,,,,,,,,,
3,燃油3000,4,0,配送中心(出发),,,,18:14,,,,2691.14,7.951,108.89,307.5,35.3,84.53,否
3,燃油3000,4,1,客户40,40,否,19:46,20:06,2691.14,7.951,"[314, 663, 763, 906, 997, 1005, 1140, 1473, 1537, 1562, 1637, 1654, 1685, 1757, 1836, 1897, 2006]",,,,,,,
3,燃油3000,4,2,配送中心(返回),,,21:39,,,,,,,,,,,
4,新能源3000,1,0,配送中心(出发),,,,8:00,,,,3000.0,8.652,240.48,195.22,0.0,49.76,否
4,新能源3000,1,1,客户70,70,否,11:42,12:02,3000.0,8.652,"[329, 332, 333, 424, 425, 432, 465, 478, 502, 517, 669, 678, 682, 753, 943, 950, 981, 986, 996, 1083, 1102, 1203, 1220, 1302, 1328, 1370, 1410, 1435, 1465, 1468, 1508, 1520, 1570, 1673, 1695, 1698, 1756, 1817, 1901, 1910, 1925, 1952]",,,,,,,
4,新能源3000,1,2,配送中心(返回),,,15:00,,,,,,,,,,,
4,新能源3000,2,0,配送中心(出发),,,,15:03,,,,3000.0,9.344,110.76,86.2,13.57,21.97,否
4,新能源3000,2,1,客户36,36,否,16:37,16:57,3000.0,9.344,"[484, 497, 562, 586, 818, 874, 989, 1026, 1138, 1279, 1289, 1411, 1552, 1705, 1869, 2034, 2162]",,,,,,,
4,新能源3000,2,2,配送中心(返回),,,18:31,,,,,,,,,,,
4,新能源3000,3,0,配送中心(出发),,,,18:34,,,,2858.55,6.735,128.22,100.89,56.25,25.71,否
4,新能源3000,3,1,客户68,68,否,20:00,20:20,1414.99,3.327,"[326, 346, 372, 410, 417, 546, 575, 646, 650, 699, 703, 725, 729, 754, 784, 832, 870, 918, 990, 992, 1007, 1082, 1104, 1150, 1159, 1164, 1187, 1352, 1381, 1394, 1398, 1402, 1424, 1532, 1599, 1605, 1634, 1648, 1773, 1784, 1827, 1839, 1916, 1924, 1937, 1940, 2005, 2048, 2117, 2133]",,,,,,,
4,新能源3000,3,2,客户4,4,是,21:32,21:52,1443.56,3.408,"[11, 17, 61, 70, 136, 148, 187, 216, 221, 243, 271, 282]",,,,,,,
4,新能源3000,3,3,配送中心(返回),,,22:51,,,,,,,,,,,
5,燃油3000,1,0,配送中心(出发),,,,8:00,,,,2994.16,8.981,103.28,324.69,0.0,89.25,否
5,燃油3000,1,1,客户16,16,否,9:38,9:58,85.2,0.193,"[518, 760, 1401]",,,,,,,
5,燃油3000,1,2,客户79,79,否,10:20,10:40,2315.13,7.367,"[320, 523, 554, 587, 602, 697, 728, 853, 1000, 1303, 1329, 1395, 1396, 1775, 1790, 1829, 1858]",,,,,,,
5,燃油3000,1,3,客户85,85,否,10:57,11:17,593.83,1.421,"[629, 757, 897, 917, 1119, 1258, 2032]",,,,,,,
5,燃油3000,1,4,配送中心(返回),,,13:13,,,,,,,,,,,
5,燃油3000,2,0,配送中心(出发),,,,13:19,,,,3000.0,7.812,136.94,384.79,0.0,105.77,否
5,燃油3000,2,1,客户75,75,否,14:33,14:53,3000.0,7.812,"[613, 750, 900, 957, 1002, 1034, 1042, 1064, 1173, 1223, 1259, 1350, 1440, 1626, 1651, 1753, 1765, 1771, 1949, 1970, 2087]",,,,,,,
5,燃油3000,2,2,配送中心(返回),,,16:48,,,,,,,,,,,
5,燃油3000,3,0,配送中心(出发),,,,16:51,,,,3000.0,6.843,105.22,302.32,28.74,83.1,否
5,燃油3000,3,1,客户31,31,否,18:20,18:40,3000.0,6.843,"[516, 578, 783, 1185, 1415, 1686, 1688, 1832]",,,,,,,
5,燃油3000,3,2,配送中心(返回),,,20:10,,,,,,,,,,,
6,新能源3000,1,0,配送中心(出发),,,,8:57,,,,3000.0,7.109,125.14,99.8,0.0,25.44,否
6,新能源3000,1,1,客户42,42,否,10:14,10:34,3000.0,7.109,"[312, 337, 351, 380, 399, 477, 742, 746, 804, 883, 1020, 1045, 1304, 1539, 1583, 1667, 1690, 1711, 1814, 1841, 1971, 1988, 2070, 2078, 2084]",,,,,,,
6,新能源3000,1,2,配送中心(返回),,,13:16,,,,,,,,,,,
6,新能源3000,2,0,配送中心(出发),,,,13:19,,,,2933.96,9.728,118.44,92.25,0.0,23.51,否
6,新能源3000,2,1,客户58,58,否,14:23,14:43,2933.96,9.728,"[382, 407, 436, 441, 495, 499, 514, 549, 620, 672, 780, 812, 849, 872, 896, 905, 983, 991, 1076, 1089, 1096, 1255, 1261, 1276, 1308, 1309, 1319, 1344, 1380, 1450, 1528, 1560, 1581, 1768, 1780, 1859, 1890, 1955, 1985, 1986, 2037, 2040, 2102, 2105]",,,,,,,
6,新能源3000,2,2,配送中心(返回),,,16:11,,,,,,,,,,,
6,新能源3000,3,0,配送中心(出发),,,,16:14,,,,3000.0,6.76,86.87,67.61,4.14,17.23,否
6,新能源3000,3,1,客户65,65,否,17:28,17:48,3000.0,6.76,"[349, 358, 381, 460, 531, 541, 557, 568, 569, 631, 633, 640, 649, 722, 723, 755, 782, 807, 888, 904, 916, 979, 993, 1013, 1061, 1110, 1135, 1265, 1271, 1281, 1282, 1317, 1325, 1366, 1392, 1403, 1464, 1576, 1589, 1660, 1721, 1725, 1732, 1737, 1913, 1930, 1948, 1950, 1958, 2062, 2088, 2097, 2115, 2141]",,,,,,,
6,新能源3000,3,2,配送中心(返回),,,19:02,,,,,,,,,,,
6,新能源3000,4,0,配送中心(出发),,,,19:05,,,,3000.0,7.331,122.6,95.42,11.25,24.32,否
6,新能源3000,4,1,客户28,28,否,20:48,21:08,3000.0,7.331,"[558, 773, 901, 1177, 1355, 1946, 2012]",,,,,,,
6,新能源3000,4,2,配送中心(返回),,,22:52,,,,,,,,,,,
7,新能源3000,1,0,配送中心(出发),,,,9:08,,,,2872.38,8.224,218.78,169.82,26.97,43.28,否
7,新能源3000,1,1,客户87,87,否,11:18,11:38,180.29,0.465,"[310, 347, 359, 1447, 1638, 2003]",,,,,,,
7,新能源3000,1,2,客户70,70,否,12:60,13:20,2674.65,7.714,"[329, 332, 333, 424, 425, 432, 465, 478, 502, 517, 669, 678, 682, 753, 943, 950, 981, 986, 996, 1083, 1102, 1203, 1220, 1302, 1328, 1370, 1410, 1435, 1465, 1468, 1508, 1520, 1570, 1673, 1695, 1698, 1756, 1817, 1901, 1910, 1925, 1952]",,,,,,,
7,新能源3000,1,3,客户75,75,否,14:06,14:45,17.44,0.045,"[613, 750, 900, 957, 1002, 1034, 1042, 1064, 1173, 1223, 1259, 1350, 1440, 1626, 1651, 1753, 1765, 1771, 1949, 1970, 2087]",,,,,,,
7,新能源3000,1,4,配送中心(返回),,,16:33,,,,,,,,,,,
7,新能源3000,2,0,配送中心(出发),,,,16:36,,,,2795.8,7.865,155.18,119.33,43.35,30.41,否
7,新能源3000,2,1,客户91,91,否,18:15,18:35,70.44,0.391,"[1218, 1239, 1377, 2079]",,,,,,,
7,新能源3000,2,2,客户77,77,否,18:44,19:16,1968.27,5.097,"[323, 335, 493, 560, 749, 821, 868, 1198, 1338, 1368, 1492, 1760, 1818, 1820, 1857, 2090, 2104]",,,,,,,
7,新能源3000,2,3,客户98,98,否,19:39,19:59,25.5,0.065,[958],,,,,,,
7,新能源3000,2,4,客户5,5,是,20:58,21:18,731.6,2.312,"[9, 29, 43, 46, 52, 81, 88, 89, 96, 103, 112, 126, 128, 152, 157, 166, 177, 238, 254, 267, 279, 292, 293]",,,,,,,
7,新能源3000,2,5,配送中心(返回),,,22:31,,,,,,,,,,,
8,燃油3000,1,0,配送中心(出发),,,,9:19,,,,2908.0,7.636,158.99,449.68,31.24,123.61,否
8,燃油3000,1,1,客户59,59,否,11:15,11:35,2807.39,7.409,"[362, 364, 365, 384, 396, 520, 542, 596, 601, 622, 630, 637, 696, 720, 745, 777, 797, 844, 885, 889, 894, 910, 920, 971, 1017, 1038, 1069, 1090, 1118, 1151, 1161, 1335, 1349, 1376, 1409, 1418, 1475, 1500, 1510, 1533, 1540, 1590, 1593, 1604, 1613, 1624, 1670, 1821, 1872, 1886, 1907, 1909, 1936, 1954, 2051, 2056, 2101, 2107, 2130, 2145]",,,,,,,
8,燃油3000,1,2,客户90,90,否,12:16,14:10,100.61,0.227,"[752, 833, 1127, 2047]",,,,,,,
8,燃油3000,1,3,配送中心(返回),,,15:41,,,,,,,,,,,
8,燃油3000,2,0,配送中心(出发),,,,15:44,,,,3000.0,8.206,94.36,271.12,0.0,74.53,否
8,燃油3000,2,1,客户63,63,否,17:04,17:24,3000.0,8.206,"[301, 341, 422, 429, 458, 488, 500, 505, 634, 644, 647, 705, 706, 715, 774, 814, 851, 890, 891, 932, 939, 966, 1036, 1041, 1092, 1093, 1180, 1181, 1209, 1243, 1318, 1354, 1364, 1478, 1487, 1553, 1645, 1734, 1738, 1751, 1781, 1868, 1873, 1926, 1947, 1995, 2063, 2067, 2086, 2118, 2156, 2165]",,,,,,,
8,燃油3000,2,2,配送中心(返回),,,18:44,,,,,,,,,,,
8,燃油3000,3,0,配送中心(出发),,,,18:47,,,,3000.0,7.053,101.78,292.43,20.84,80.39,否
8,燃油3000,3,1,客户68,68,否,20:13,20:33,3000.0,7.053,"[326, 346, 372, 410, 417, 546, 575, 646, 650, 699, 703, 725, 729, 754, 784, 832, 870, 918, 990, 992, 1007, 1082, 1104, 1150, 1159, 1164, 1187, 1352, 1381, 1394, 1398, 1402, 1424, 1532, 1599, 1605, 1634, 1648, 1773, 1784, 1827, 1839, 1916, 1924, 1937, 1940, 2005, 2048, 2117, 2133]",,,,,,,
8,燃油3000,3,2,配送中心(返回),,,21:59,,,,,,,,,,,
9,新能源3000,1,0,配送中心(出发),,,,9:19,,,,3000.0,7.918,164.15,130.4,0.0,33.24,否
9,新能源3000,1,1,客户59,59,否,11:15,11:35,3000.0,7.918,"[362, 364, 365, 384, 396, 520, 542, 596, 601, 622, 630, 637, 696, 720, 745, 777, 797, 844, 885, 889, 894, 910, 920, 971, 1017, 1038, 1069, 1090, 1118, 1151, 1161, 1335, 1349, 1376, 1409, 1418, 1475, 1500, 1510, 1533, 1540, 1590, 1593, 1604, 1613, 1624, 1670, 1821, 1872, 1886, 1907, 1909, 1936, 1954, 2051, 2056, 2101, 2107, 2130, 2145]",,,,,,,
9,新能源3000,1,2,配送中心(返回),,,14:14,,,,,,,,,,,
9,新能源3000,2,0,配送中心(出发),,,,14:17,,,,3000.0,7.634,178.18,139.0,0.0,35.43,否
9,新能源3000,2,1,客户52,52,否,16:24,16:44,3000.0,7.634,"[331, 340, 350, 426, 428, 451, 459, 494, 565, 588, 619, 621, 626, 627, 662, 671, 700, 709, 735, 762, 909, 928, 938, 970, 982, 1001, 1024, 1079, 1126, 1221, 1222, 1252, 1262, 1445, 1571, 1610, 1650, 1677, 1722, 1723, 1740, 1748, 1776, 1788, 1808, 1844, 1900, 1957, 1996, 2021, 2031, 2125, 2131, 2154]",,,,,,,
9,新能源3000,2,2,配送中心(返回),,,19:15,,,,,,,,,,,
9,新能源3000,3,0,配送中心(出发),,,,19:18,,,,3000.0,8.11,140.98,109.72,16.07,27.97,否
9,新能源3000,3,1,客户50,50,否,21:17,21:37,3000.0,8.11,"[345, 374, 394, 401, 480, 604, 665, 676, 684, 711, 712, 716, 733, 758, 759, 787, 838, 892, 947, 955, 965, 1137, 1149, 1163, 1240, 1266, 1290, 1300, 1322, 1372, 1511, 1588, 1594, 1612, 1639, 1693, 1731, 1806, 1837, 1877, 1893, 1896, 1899, 1911, 1974, 1981, 2035, 2038, 2052, 2081, 2092, 2096, 2122, 2142, 2144]",,,,,,,
9,新能源3000,3,2,配送中心(返回),,,23:37,,,,,,,,,,,
10,新能源3000,1,0,配送中心(出发),,,,9:19,,,,3000.0,7.918,164.15,130.4,0.0,33.24,否
