车辆ID,车型,第几趟,停靠序号,类型,客户原始ID,是否绿色区客户,到达时刻,离开时刻,该点重量kg,该点体积m3,该点订单编号,累计载重kg,累计体积m3,路线总距离km,行驶能耗元,惩罚元,CO2kg,限行违规
1,燃油3000,1,0,配送中心(出发),,,,8:00,,,,2749.38,8.614,107.63,332.52,32.88,91.41,否
1,燃油3000,1,1,客户76,76,否,9:30,9:50,1256.3,3.941,"[302, 655, 668, 737, 739, 834, 1012, 1065, 1105, 1212, 1228, 1270, 1393, 1498, 1564, 1889, 2148]",,,,,,,
1,燃油3000,1,2,客户82,82,否,10:02,12:01,1493.08,4.673,"[457, 540, 911, 1122, 1248, 1404, 1425, 1536, 1607, 1851, 1867, 1879, 2019]",,,,,,,
1,燃油3000,1,3,配送中心(返回),,,13:54,,,,,,,,,,,
1,燃油3000,2,0,配送中心(出发),,,,13:57,,,,3000.0,9.052,33.46,94.01,11.1,25.84,否
1,燃油3000,2,1,客户49,49,否,14:15,14:35,3000.0,9.052,"[375, 392, 415, 448, 454, 552, 576, 579, 585, 606, 609, 648, 785, 828, 866, 895, 941, 954, 1037, 1062, 1169, 1196, 1216, 1272, 1339, 1343, 1351, 1446, 1460, 1526, 1558, 1579, 1597, 1619, 1631, 1727, 1777, 1802, 1822, 1864, 1902, 1960, 2039, 2106, 2146, 2147]",,,,,,,
1,燃油3000,2,2,配送中心(返回),,,14:53,,,,,,,,,,,
1,燃油3000,3,0,配送中心(出发),,,,18:15,,,,2935.15,8.663,94.24,274.12,0.0,75.35,否
1,燃油3000,3,1,客户5,5,是,19:28,19:48,731.6,2.312,"[9, 29, 43, 46, 52, 81, 88, 89, 96, 103, 112, 126, 128, 152, 157, 166, 177, 238, 254, 267, 279, 292, 293]",,,,,,,
1,燃油3000,3,2,客户10,10,是,19:53,20:13,759.99,2.942,"[3, 4, 8, 10, 14, 16, 41, 57, 58, 62, 69, 77, 83, 95, 108, 111, 114, 120, 122, 124, 125, 137, 151, 168, 170, 179, 191, 205, 207, 213, 220, 227, 230, 232, 239, 251, 269, 285]",,,,,,,
1,燃油3000,3,3,客户4,4,是,20:35,20:55,1443.56,3.408,"[11, 17, 61, 70, 136, 148, 187, 216, 221, 243, 271, 282]",,,,,,,
1,燃油3000,3,4,配送中心(返回),,,21:55,,,,,,,,,,,
2,燃油3000,1,0,配送中心(出发),,,,8:00,,,,2994.16,8.981,103.28,324.69,0.0,89.25,否
2,燃油3000,1,1,客户16,16,否,9:38,9:58,85.2,0.193,"[518, 760, 1401]",,,,,,,
2,燃油3000,1,2,客户79,79,否,10:20,10:40,2315.13,7.367,"[320, 523, 554, 587, 602, 697, 728, 853, 1000, 1303, 1329, 1395, 1396, 1775, 1790, 1829, 1858]",,,,,,,
2,燃油3000,1,3,客户85,85,否,10:57,11:17,593.83,1.421,"[629, 757, 897, 917, 1119, 1258, 2032]",,,,,,,
2,燃油3000,1,4,配送中心(返回),,,13:13,,,,,,,,,,,
2,燃油3000,2,0,配送中心(出发),,,,13:16,,,,2934.47,7.491,216.79,613.07,37.41,168.53,否
2,燃油3000,2,1,客户39,39,否,15:03,15:23,1024.89,2.548,"[308, 342, 354, 837, 1050, 1192, 1283, 1488, 1501, 1557, 1632, 1636, 1703, 1718, 2009, 2016, 2054, 2132]",,,,,,,
2,燃油3000,2,2,客户54,54,否,15:37,17:40,1418.66,3.762,"[319, 379, 390, 414, 462, 486, 625, 692, 731, 748, 824, 845, 846, 863, 887, 927, 976, 1052, 1154, 1160, 1175, 1176, 1224, 1391, 1405, 1413, 1426, 1430, 1442, 1474, 1477, 1499, 1503, 1561, 1577, 1598, 1642, 1666, 1668, 1699, 1743, 1759, 1770, 1816, 1830, 1835, 1862, 1882, 1885, 1942, 2004, 2011, 2150, 2167, 2169]",,,,,,,
2,燃油3000,2,3,客户27,27,否,18:04,18:24,233.6,0.552,"[400, 468, 902, 1043, 1078, 1158, 1190, 1206, 1809]",,,,,,,
2,燃油3000,2,4,客户28,28,否,19:25,19:47,257.31,0.629,"[558, 773, 901, 1177, 1355, 1946, 2012]",,,,,,,
2,燃油3000,2,5,配送中心(返回),,,21:31,,,,,,,,,,,
3,新能源3000,1,0,配送中心(出发),,,,8:00,,,,2791.01,8.68,95.94,75.84,0.0,19.33,否
3,新能源3000,1,1,客户66,66,否,9:37,9:57,2791.01,8.68,"[324, 370, 507, 529, 618, 732, 765, 808, 854, 862, 875, 1023, 1056, 1088, 1133, 1249, 1275, 1388, 1441, 1455, 1490, 1512, 1523, 1574, 1663, 1683, 1696, 1758, 1769, 1798, 1803, 1846, 2068, 2069, 2073, 2140, 2149, 2158]",,,,,,,
3,新能源3000,1,2,配送中心(返回),,,11:16,,,,,,,,,,,
3,新能源3000,2,0,配送中心(出发),,,,11:19,,,,3000.0,7.109,125.14,97.56,121.39,24.87,否
3,新能源3000,2,1,客户42,42,否,13:47,14:07,3000.0,7.109,"[312, 337, 351, 380, 399, 477, 742, 746, 804, 883, 1020, 1045, 1304, 1539, 1583, 1667, 1690, 1711, 1814, 1841, 1971, 1988, 2070, 2078, 2084]",,,,,,,
3,新能源3000,2,2,配送中心(返回),,,15:19,,,,,,,,,,,
3,新能源3000,3,0,配送中心(出发),,,,15:22,,,,3000.0,9.344,110.76,86.2,29.04,21.97,否
3,新能源3000,3,1,客户36,36,否,16:56,17:16,3000.0,9.344,"[484, 497, 562, 586, 818, 874, 989, 1026, 1138, 1279, 1289, 1411, 1552, 1705, 1869, 2034, 2162]",,,,,,,
3,新能源3000,3,2,配送中心(返回),,,18:50,,,,,,,,,,,
3,新能源3000,4,0,配送中心(出发),,,,18:53,,,,3000.0,7.053,101.78,79.21,25.8,20.19,否
3,新能源3000,4,1,客户68,68,否,20:19,20:39,3000.0,7.053,"[326, 346, 372, 410, 417, 546, 575, 646, 650, 699, 703, 725, 729, 754, 784, 832, 870, 918, 990, 992, 1007, 1082, 1104, 1150, 1159, 1164, 1187, 1352, 1381, 1394, 1398, 1402, 1424, 1532, 1599, 1605, 1634, 1648, 1773, 1784, 1827, 1839, 1916, 1924, 1937, 1940, 2005, 2048, 2117, 2133]",,,,,,,
3,新能源3000,4,2,配送中心(返回),,,22:05,,,,,,,,,,,
4,新能源3000,1,0,配送中心(出发),,,,8:00,,,,3000.0,8.652,240.48,195.22,0.0,49.76,否
4,新能源3000,1,1,客户70,70,否,11:42,12:02,3000.0,8.652,"[329, 332, 333, 424, 425, 432, 465, 478, 502, 517, 669, 678, 682, 753, 943, 950, 981, 986, 996, 1083, 1102, 1203, 1220, 1302, 1328, 1370, 1410, 1435, 1465, 1468, 1508, 1520, 1570, 1673, 1695, 1698, 1756, 1817, 1901, 1910, 1925, 1952]",,,,,,,
4,新能源3000,1,2,配送中心(返回),,,15:00,,,,,,,,,,,
4,新能源3000,2,0,配送中心(出发),,,,15:03,,,,3000.0,7.677,60.31,46.94,0.0,11.96,否
4,新能源3000,2,1,客户57,57,否,15:53,16:13,3000.0,7.677,"[313, 369, 456, 479, 512, 527, 543, 550, 551, 675, 688, 721, 776, 811, 813, 864, 878, 913, 940, 948, 959, 962, 1073, 1095, 1141, 1178, 1236, 1246, 1310, 1312, 1417, 1471, 1491, 1582, 1659, 1674, 1680, 1741, 1747, 1767, 1772, 1840, 1922, 1967, 2008, 2020, 2030, 2049, 2161]",,,,,,,
4,新能源3000,2,2,配送中心(返回),,,17:05,,,,,,,,,,,
4,新能源3000,3,0,配送中心(出发),,,,18:17,,,,3000.0,11.615,98.28,76.49,0.0,19.49,否
