车辆,车型,第几趟,出发,返回,经绿色区,客户(原始ID),载重kg,体积m3,行驶元,惩罚元,CO2kg
1,燃油3000,1,8:00,14:45,否,"[76, 33, 42, 74]",2851.34,8.262,440.7,11.18,121.14
1,燃油3000,2,14:48,16:42,否,[57],3000.0,7.677,171.07,0.0,47.02
1,燃油3000,3,16:45,20:03,否,[31],3000.0,6.843,302.32,23.56,83.1
2,新能源3000,1,8:00,13:13,否,"[16, 79, 85]",2994.16,8.981,84.05,0.0,21.42
2,新能源3000,2,13:16,14:12,否,[49],3000.0,9.052,26.14,0.0,6.66
2,新能源3000,3,14:15,19:13,否,[52],3000.0,7.634,139.0,0.0,35.43
2,新能源3000,4,19:16,21:57,否,[72],2725.32,7.501,63.77,0.0,16.25
3,燃油3000,1,8:00,11:16,否,[66],2791.01,8.68,292.16,0.0,80.31
3,燃油3000,2,11:19,15:24,否,"[86, 37, 49]",2584.68,9.154,260.04,260.1,71.48
3,燃油3000,3,15:27,18:11,否,[45],2799.93,8.889,240.69,2.74,66.16
3,燃油3000,4,18:14,21:38,否,[40],2691.14,7.951,307.5,35.3,84.53
4,新能源3000,1,8:00,15:00,否,[70],3000.0,8.652,195.22,0.0,49.76
4,新能源3000,2,15:03,18:31,否,[36],3000.0,9.344,86.2,13.57,21.97
4,新能源3000,3,18:34,22:51,是,"[68, 4]",2858.55,6.735,100.89,56.25,25.71
5,燃油3000,1,8:57,13:16,否,[42],3000.0,7.109,389.14,0.0,106.97
5,燃油3000,2,13:19,16:48,否,[75],3000.0,7.812,384.79,0.0,105.77
5,燃油3000,3,16:51,20:09,否,[31],3000.0,6.843,302.32,28.74,83.1
6,新能源3000,1,8:57,13:16,否,[42],3000.0,7.109,99.8,0.0,25.44
6,新能源3000,2,13:19,16:11,否,[58],2933.96,9.728,92.25,0.0,23.51
6,新能源3000,3,16:14,19:01,否,[65],3000.0,6.76,67.61,4.14,17.23
6,新能源3000,4,19:04,22:52,否,[28],3000.0,7.331,95.42,11.25,24.32
7,新能源3000,1,9:07,16:32,否,"[87, 70, 75]",2872.38,8.224,169.82,26.97,43.28
7,新能源3000,2,16:35,22:30,是,"[91, 77, 98, 5]",2795.8,7.865,119.33,43.35,30.41
8,燃油3000,1,16:06,20:38,是,"[38, 12]",2988.57,8.467,412.06,498.13,113.27
8,燃油3000,2,18:16,22:47,是,"[10, 78]",2642.38,7.667,376.87,0.0,103.6
9,燃油3000,1,9:19,15:40,否,"[59, 90]",2908.0,7.636,449.68,31.24,123.61
9,燃油3000,2,15:43,18:43,否,[63],3000.0,8.206,271.12,0.0,74.53
9,燃油3000,3,18:46,21:59,否,[68],3000.0,7.053,292.43,20.84,80.39
10,新能源3000,1,9:19,14:13,否,[59],3000.0,7.918,130.4,0.0,33.24
10,新能源3000,2,14:16,19:14,否,[52],3000.0,7.634,139.0,0.0,35.43
10,新能源3000,3,19:17,23:36,否,[50],3000.0,8.11,109.72,16.07,27.97
11,新能源3000,1,9:19,14:13,否,[59],3000.0,7.918,130.4,0.0,33.24
11,新能源3000,2,14:16,15:59,否,"[83, 92]",2451.35,6.614,34.54,0.0,8.8
11,新能源3000,3,16:02,21:48,否,[54],3000.0,7.955,149.59,1.26,38.13
12,新能源3000,1,9:20,11:46,是,[9],2506.71,6.651,61.53,0.0,15.68
12,新能源3000,2,11:49,17:14,是,"[60, 7, 36]",2679.12,6.919,106.01,92.28,27.02
12,新能源3000,3,17:17,19:52,否,[51],3000.0,8.59,62.06,0.0,15.82
12,新能源3000,4,19:55,21:25,否,[53],3000.0,8.081,32.24,82.3,8.22
13,燃油3000,1,9:37,13:55,否,[46],3000.0,9.838,391.86,0.29,107.72
13,燃油3000,2,13:58,16:32,否,[64],3000.0,7.25,274.97,0.0,75.59
13,燃油3000,3,16:35,18:57,否,[48],3000.0,6.82,205.6,7.12,56.52
