客户编号,开始时间,结束时间
1,11:33,12:22
2,17:53,18:49
3,14:33,15:21
4,19:29,20:37
5,19:28,20:26
6,11:46,12:59
7,12:41,14:08
8,10:49,11:47
9,10:06,11:32
10,19:40,20:29
11,11:29,12:50
12,14:55,15:50
13,12:10,13:06
14,15:42,17:05
15,15:00,16:24
16,09:17,10:41
17,12:52,14:16
18,15:14,16:12
19,19:15,20:28
20,10:37,12:01
21,09:35,10:23
22,13:51,15:17
23,12:10,13:15
24,16:51,18:16
25,16:19,17:29
26,15:50,17:12
27,17:51,19:07
28,19:27,20:35
29,17:38,19:03
30,11:32,13:02
31,16:49,17:46
32,13:08,14:24
33,10:46,12:11
34,18:55,20:08
35,09:29,10:52
36,15:16,16:21
37,09:25,10:43
38,10:28,11:34
39,14:08,15:00
40,17:52,19:04
41,12:38,13:51
42,10:14,11:21
43,16:53,18:17
44,17:01,18:29
45,15:37,16:36
46,11:12,12:11
47,18:55,19:55
48,16:06,17:28
49,13:06,14:02
50,20:09,20:58
51,17:33,18:39
52,15:05,16:32
53,17:59,18:52
54,17:20,18:44
55,17:55,19:12
56,13:50,15:09
57,14:38,15:59
58,14:18,15:23
59,11:15,12:39
60,10:23,11:36
61,12:17,13:43
62,19:11,20:01
63,15:52,17:14
64,14:09,15:05
65,15:57,17:23
66,09:10,10:33
67,18:52,20:16
68,18:31,19:48
69,15:46,17:09
70,11:36,12:35
71,19:19,20:45
72,19:13,20:35
73,13:22,14:17
74,13:11,14:10
75,14:25,15:45
76,09:09,10:25
77,18:56,20:17
78,19:54,20:55
79,09:35,10:45
80,17:41,18:34
81,17:04,18:08
82,11:41,13:02
83,13:48,14:43
84,16:14,17:09
85,09:51,11:02
86,10:06,11:35
87,11:18,12:42
88,10:04,11:19
89,16:11,17:13
90,13:50,15:09
91,16:40,17:59
92,14:47,16:07
93,12:52,14:14
94,12:43,13:57
95,14:25,15:34
96,16:23,17:52
97,13:42,15:11
98,19:18,20:41
