¿Í»§,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,0,33.35199768,38.22395047,69.43312033,35.0291721,43.02150907,40.63813417,62.20272707,33.02744827,40.42991299,49.13865059,57.38319738,34.62641871,41.44018747,73.0984564,62.8844174,44.63912624,53.44604269,47.9877468,125.2572862,39.49238919,64.99781361,85.33896547,75.4291583,47.09128,33.7411554,78.93787635,78.40399572,61.30190763,50.3225523,16.50748644,52.60855025,90.13853965,57.71500045,49.07892384,104.4094658,55.3793157,60.80757913,68.59540978,97.08468211,54.44415573,56.01036669,62.56818317,38.58853769,46.36390021,42.35583284,65.19809554,16.5303037,35.77867228,16.72795634,70.49124318,39.86858589,89.08777291,20.71362251,96.10547578,66.043306,80.45190582,30.15679149,59.22010136,82.07727643,18.37409148,56.92349628,48.87635746,47.17986979,48.4740788,43.43726892,47.97062975,50.95414178,50.88851045,58.76247808,120.2406032,74.70114254,41.53433137,72.71342924,65.83587845,68.47114258,37.62432158,116.320894,72.53023277,71.08630339,50.75108886,56.79175794,59.55874509,9.073449629,104.2664791,34.51593951,27.72321425,94.30198184,15.18999804,85.17431931,70.17117605,58.43982764,17.4837362,83.02794687,51.14139484,105.2693943,60.11566147,62.9727908,107.3402403
1,33.35199768,0,11.55918657,24.59665146,10.77170512,26.1413051,21.89308912,13.89345724,5.698922294,4.672402665,16.02041209,13.03235128,8.685139437,3.884003994,19.48736911,10.24838034,32.10493884,39.09865058,16.91263594,40.15121865,43.84520776,39.78453966,41.92644969,58.68717206,51.74332757,8.489404125,57.39788028,36.16245447,47.45894864,28.13768605,19.81628019,18.82824366,56.19377163,42.45544882,39.11260827,52.48676387,32.47152787,74.79337533,25.59847726,77.49491847,28.64515059,41.37410483,49.22837258,48.31166124,32.61800935,44.93106973,55.96964245,19.33443102,8.116306283,32.58896545,39.12411335,20.0631819,35.93291727,24.97264232,47.99200864,40.87669133,79.79083966,37.88202715,36.7962109,47.08240686,35.29241575,54.26385342,30.89028562,56.42328717,68.76758308,63.22308733,28.27711108,49.53410949,34.51889729,33.39776423,51.94274971,27.66378949,30.76700264,33.41079316,23.97015781,82.35926473,27.54222554,65.04525422,23.96744056,37.60052477,41.40761386,38.13678043,38.76198373,30.58913752,38.56992006,23.5952314,27.66125481,45.29072753,39.9297272,34.66017893,44.65514962,43.73277479,19.95782581,49.45848344,82.40984026,44.1277385,22.43631197,35.24813759,59.14458051
2,38.22395047,11.55918657,0,15.4361992,15.3079368,18.55004535,11.74217006,22.08709659,8.10820738,9.711170665,13.01530898,4.567785764,3.256819471,11.60995482,11.73220376,7.454606306,19.21611171,37.58384207,33.93167567,57.90676621,22.92617504,57.3828764,33.91882205,34.13715224,50.55664573,19.69756771,28.78546607,28.23115146,27.68144431,61.80383849,29.19420114,15.11319454,49.4701783,17.43216265,18.38442942,40.52296625,48.54666046,39.60071888,34.8354559,42.83096668,32.71617557,61.63689727,20.80113806,27.60032057,28.39059093,41.74880279,52.37597299,29.74549139,13.22705918,53.91864364,38.7472044,36.92435887,44.21591847,17.83468221,41.8853965,45.10100927,39.52508986,51.33843702,30.67453638,48.4766516,51.96920843,46.42034347,19.89072974,63.25169544,57.89851352,81.71629562,26.08533946,32.88384463,66.35581701,40.51307166,71.13980849,25.49173501,33.68810734,30.60669601,19.07265268,68.51340022,18.23268947,41.61627513,17.5884791,21.29381656,53.84101832,17.14745262,34.6199658,42.95331569,41.69359039,11.70733654,19.55889188,35.02988451,37.47110413,50.78089531,62.02377421,43.41066859,26.00496619,31.30590041,33.1077129,49.56715821,35.71941332,13.36943844,73.00153848
3,69.43312033,24.59665146,15.4361992,0,16.78817248,11.07183475,3.347393608,21.29597369,13.60867057,23.27986749,5.645784718,11.701542,10.83225869,23.68227576,2.492261443,4.342914306,20.30205557,51.36160319,22.40922496,46.24621974,28.67988938,52.73988414,16.30928333,36.66430992,33.06957626,31.57748574,29.70397875,32.47175328,37.99457995,60.06434733,44.45261688,14.00763494,45.98567843,16.3336064,29.01358293,32.96577635,37.84447723,50.17266994,40.3230209,52.00456003,49.76701131,61.52188547,23.56969805,38.37966043,35.639785,30.89566062,27.90523058,45.04014499,19.95512466,53.35947546,27.41117366,28.92768205,23.17619536,34.42002359,29.96306314,43.16319352,72.25703912,68.41593729,39.72882192,50.9433796,67.38908615,34.89177753,24.06283322,64.67496092,58.14497628,74.40851824,28.38382454,39.72530753,65.17871562,59.4394218,50.27222696,23.91353063,66.39818828,31.00961529,27.34850644,53.88191422,18.47989599,39.70488167,7.805730028,23.00604977,52.3827061,21.67200845,36.29742024,66.0308195,41.98583374,13.36250571,45.61195669,38.99240733,47.09542724,24.28057763,47.85158676,34.28402787,42.00153049,28.31152764,52.89199469,21.59421822,33.12287054,11.9933206,36.98732337
4,35.0291721,10.77170512,15.3079368,16.78817248,0,15.79129515,17.21585743,6.588894677,9.392906991,15.47368372,13.27521521,10.66437903,15.22516572,9.446555036,17.80148677,10.20049288,30.7143852,68.85408997,9.060965682,51.04745996,31.06222842,34.37637316,22.32586719,46.58137812,35.26928625,22.23025707,43.89266129,38.13081664,54.3753672,34.98220776,34.52315466,35.78845991,67.62968068,28.04617122,50.80321841,58.70875407,24.6386141,46.89626663,15.15553397,65.02067934,23.25875103,42.33994748,32.91932575,37.58404,40.68000668,66.19175087,43.86708727,39.2715837,18.19910893,57.06867297,28.15281848,18.18020986,36.35632916,30.55534034,41.86886639,33.46434842,85.62512645,41.69757414,46.31592735,36.28704828,56.0709363,59.33178673,13.18293873,47.22275229,65.47759002,55.25288733,36.22272752,78.62377267,42.30230075,31.63741793,43.83714216,28.37730626,32.15791105,21.41850075,18.21575694,52.29396056,36.88199878,54.99914928,19.47329851,47.08589062,34.48834823,36.25148082,45.00152612,43.29921116,35.73874882,22.29454308,38.62697625,59.93726488,28.13757089,29.2630767,37.96669186,40.02373319,37.15306913,41.83355867,44.54081232,37.05622314,12.61250353,31.52292868,58.03627419
5,43.02150907,26.1413051,18.55004535,11.07183475,15.79129515,0,4.676209747,8.531258004,23.15260591,20.05863062,2.91019946,10.70311451,14.19338498,30.579654,14.88681501,6.680130399,39.07101387,44.64202106,25.19946185,46.64353003,26.47234573,48.94015326,13.24868597,28.03987763,49.24233054,37.35059845,37.22377366,24.75353592,44.23573453,58.4748206,45.19342249,28.50418718,39.3701711,10.85959116,31.46689971,45.02992939,32.01915884,69.05964252,28.42232873,50.1493057,42.92032824,52.10460023,17.06720388,48.93935527,42.17222967,48.17128127,45.95571843,58.84580948,30.83729261,60.46305241,23.27053303,20.90738491,19.38530007,28.3444809,35.26827997,37.75991324,62.78087032,52.3537807,41.06093711,37.77072118,65.27041842,64.78188057,9.424344448,39.6954918,45.17699422,58.18907899,33.7717027,65.05119687,53.40100039,40.56714168,32.42220894,24.01713452,67.6150579,18.20016822,10.84337289,63.01070166,22.21163896,41.47481421,17.61582545,31.45355173,31.90976612,28.41837725,47.66072748,76.86059273,28.13565526,20.06016249,48.69814898,37.91441415,48.74517872,34.19272754,32.55953714,32.67039918,48.08431666,48.2540238,41.2634909,34.68314209,16.25350022,28.51950713,34.83787838
6,40.63813417,21.89308912,11.74217006,3.347393608,17.21585743,4.676209747,0,20.1165896,13.05162885,26.72033764,4.631959224,11.63542022,12.73533714,28.69877617,6.362913263,9.247808203,23.89592823,43.09566331,28.50566515,36.7701099,35.8534387,53.8369452,11.86477223,26.60396067,64.86490254,37.68719879,23.65969339,30.41520068,54.37448834,40.18172968,45.94712663,17.49081519,49.96168835,13.37503196,23.1063437,27.36782366,47.52642889,49.13802511,26.89618497,43.08825181,50.924932,57.83254045,12.94823556,34.69176156,32.68989524,27.00427154,28.7294403,41.46801143,21.64960848,46.34227375,23.56463292,33.2173512,14.44383907,23.37069713,27.78821352,34.63802192,76.55498031,50.23114249,54.73718645,38.5948619,75.85442561,44.68080384,23.99673699,69.02804104,52.91590331,55.639732,22.06069352,33.84553622,50.22997339,53.77321628,37.44430345,28.08095606,68.77338235,32.28591146,25.63522331,65.09235245,14.48714876,26.72978813,12.26320084,18.42559721,45.97931112,20.06444866,31.73089143,60.41139302,34.78629981,17.82953319,48.37061168,30.64807591,51.88141728,30.99712887,41.15859177,25.75966132,34.81796553,33.04113815,36.3107725,24.50512492,28.81999792,18.31782051,53.36638137
7,62.20272707,13.89345724,22.08709659,21.29597369,6.588894677,8.531258004,20.1165896,0,11.75754032,15.40163757,16.87066448,16.09343495,16.14588312,14.51003213,23.57666173,13.41903547,41.16148138,60.13614679,16.92940374,53.03881256,56.05232797,49.80051172,19.83960236,39.35430438,26.56383745,22.09376253,42.99929742,44.88612158,63.76246467,36.15578429,26.73498078,44.18189076,43.11563291,25.49066645,53.59138516,57.12504345,27.93406702,73.46994576,16.33827991,44.7132876,30.42279224,50.64086821,22.50355237,63.58343585,46.53790558,45.99462046,48.43373588,29.11635251,22.49839014,67.71460417,34.28090882,18.19432204,30.25279684,33.0130636,43.20363471,24.45815158,61.58200274,45.76926079,70.10209732,26.78595913,41.64033358,56.98810056,13.75118883,25.96046139,75.22773502,39.68138689,38.31074781,58.93686779,52.3155384,41.85604608,43.84899013,20.04346053,39.90447171,12.4525931,12.13644539,78.53162494,33.93578104,42.2416752,24.92671124,40.3443603,30.29223188,35.58478534,47.92190041,61.99856824,27.07822739,24.68171402,42.54033118,40.22446955,57.21221655,37.71074494,34.1818295,36.15315175,33.06254831,46.8302829,82.80906336,41.28343828,9.167967932,24.10151712,48.77192272
8,33.02744827,5.698922294,8.10820738,13.60867057,9.392906991,23.15260591,13.05162885,11.75754032,0,5.315576814,16.68801624,7.081791893,6.960256132,6.548774258,14.20753603,13.46507952,28.90075501,51.01358972,13.93083811,61.04407429,28.37617748,50.98545961,26.70214926,57.23239895,54.02128918,11.53133395,40.31188729,35.487749,48.24240087,41.34603393,19.61991559,22.53982942,60.65489679,38.69602863,19.04898103,52.99263306,44.6623989,39.56104147,31.00892281,72.46135259,36.49075168,45.80021515,37.18114932,37.71702262,48.13776275,53.33560412,65.86006229,17.80277137,13.79259163,43.10350695,39.9430742,32.80109865,32.62196209,14.81026399,42.84617727,52.61893065,81.20015611,43.94991721,34.82319534,54.21448134,37.87482738,59.69332727,24.25390089,40.71878003,35.46952582,45.92947217,26.27446464,43.35955065,56.9295025,54.03082667,64.77886901,31.32786947,38.66935157,21.88017604,23.20926314,61.67518419,23.56929472,46.87734347,23.57268546,28.14319333,35.49894583,22.67049129,34.06071901,25.65474374,51.95579058,16.38777116,29.67179117,52.04977415,27.06165038,57.55011739,38.63960015,48.95992706,22.55042646,49.22397326,66.86452323,54.07208461,32.49498334,24.67399669,74.59742244
9,40.42991299,4.672402665,9.711170665,23.27986749,15.47368372,20.05863062,26.72033764,15.40163757,5.315576814,0,32.17240855,18.96628685,16.93404254,5.565168466,19.19064927,21.7470555,33.72048452,58.03107009,14.87119227,74.47178794,22.63098081,44.91841972,32.62721109,44.16200262,31.31695659,5.343424225,40.09054697,36.26051337,55.03510677,54.03318924,13.98641154,18.03164948,69.60637727,34.08297151,28.30581143,64.30442726,37.12172577,59.4240352,28.97201799,69.317905,36.95073487,39.22280531,55.86012929,39.5187453,30.55988349,42.94204171,62.50298719,23.7626093,4.610616353,29.16067934,43.18293238,29.78544509,30.44710266,28.9023446,56.94394549,48.19505096,70.4384213,43.97541746,53.69273977,67.55957223,39.16569424,49.09911879,28.45027192,42.53586768,42.73882263,44.30788244,30.3062873,67.8963272,57.65010875,47.51215171,74.85703049,32.56857799,28.76817639,27.28874033,35.02280705,70.76933729,27.60472807,43.31737913,30.09293508,39.23070474,35.20745209,39.58426498,44.33781799,36.00778208,50.5200759,23.96514785,31.32079681,46.72996737,31.05642212,51.63724942,56.34792461,42.94295991,15.95871075,59.3515276,63.88455024,50.76223676,20.71661384,24.97869232,81.69196044
